playId,pffPlayId,playType,playTypePrecise,gameId,eliasGameId,sdrEventId,espnScheduleId,espnEventId,pffGameId,sisGameId,gsisGameKey,uniqPlayId,ngsPlaylistKey,teamId,league,teamImageId,teamFullName,team,teamAbbrevName,teamNickName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,gamepassAwayTeam,gamepassHomeTeam,gamepassDate,seasonYear,gamepassSeasonType,gamepassWeek,wallClock,poss,possAbbrevName,possTeamId,possTeamImageId,side,possession,week,date,gameDate,home,away,team,teamAbbrevName,opponent,opponentAbbrevName,opponentImageId,opponentId,teamPriorScore,opponentPriorScore,teamAfterScore,opponentAfterScore,downStart,distToFirstStart,goalDistStart,pos,startWp,wpa,startEp,epa,yards,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,quarter,gameClock,teamFinalScore,opponentFinalScore,opponentCurrentScore,teamCurrentScore,driveTeamOnOffense,description,game,Game Date,week,qtr,los,down,dist,yds,abbrevName,opponentAbbrevName,poss,ngsPlaySummaryData,tmnDataPublicManualHasPublicHighlight,Date,GameId,PlayId,Qtr,SecsLeftInQ,Team,Opponent,TeamCurrentScore,OppCurrentScore,Down,Dist,LOS,PlayType,DriveNumber,PlayNum,Yds,Sack,Interception,FumbleLost,Incomplete,2PtChoice,2PtResult,FGDist,DriveResult,DesignedQBRun,DefensiveTD,Aborted,Onside,TOleft,OppTOLeft,PlayDesc,TmSpread,OddsTotal,PFFPlayID,reportId
41,6898651,KICKOFF,Kickoff,29563,,,,,29563,,409083,29563-41,"409083, 41",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,0,,,65,65,,,0.8293991543308158,0.21243238588205374,,1,1,75,900,4,14,115,Punt,1,900,24,31,0,0,true,72 Yard Kickoff by (HOU S96) Zac Yoakam. Touchback.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,65,0,-,0,BAY,HOU,BAY,false,false,2025-11-29,29563,41,1,900,Baylor,Houston,0,0,0,-,65,KICKOFF,1,0,0,0,0,0,0,0,,0,Punt,0,0,0,0,3,3,72 Yard Kickoff by (HOU S96) Zac Yoakam. Touchback.,-2,57,6898651,326-undefined
59,6898654,RUSH,Rush,29563,,,,,29563,,409083,29563-59,"409083, 59",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,true,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,0,1,10,75,75,,,1.0390597830284112,0.7789587413694389,11,1,1,75,900,4,14,115,Punt,1,900,24,31,0,0,true,(15:00) (BAY 07) Bryson Washington rushes for 11 yards. Tackle by (HOU D98) Myles Parker. Assist by (HOU D90) Eddie Walls III.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,75,1,10,11,BAY,HOU,BAY,false,false,2025-11-29,29563,59,1,900,Baylor,Houston,0,0,1,10,75,RUSH,1,1,11,0,0,0,0,0,,0,Punt,0,0,0,0,3,3,(15:00) (BAY 07) Bryson Washington rushes for 11 yards. Tackle by (HOU D98) Myles Parker. Assist by (HOU D90) Eddie Walls III.,-2,57,6898654,326-undefined
85,6898658,RUSH,Rush,29563,,,,,29563,,409083,29563-85,"409083, 85",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,true,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,0,1,10,64,64,,,1.8078548929024802,-0.02075497765849318,5,1,1,75,900,4,14,115,Punt,1,882,24,31,0,0,true,(14:42) (BAY 07) Bryson Washington rushes for 5 yards. Tackle by (HOU D04) Brandon Mack II. Assist by (HOU D90) Eddie Walls III.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,64,1,10,5,BAY,HOU,BAY,false,false,2025-11-29,29563,85,1,882,Baylor,Houston,0,0,1,10,64,RUSH,1,2,5,0,0,0,0,0,,0,Punt,0,0,0,0,3,3,(14:42) (BAY 07) Bryson Washington rushes for 5 yards. Tackle by (HOU D04) Brandon Mack II. Assist by (HOU D90) Eddie Walls III.,-2,57,6898658,326-undefined
111,6898665,RUSH,Rush,29563,,,,,29563,,409083,29563-111,"409083, 111",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,true,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,0,2,5,59,59,,,1.7868218540896221,-0.8368992466446675,1,1,1,75,900,4,14,115,Punt,1,859,24,31,0,0,true,(14:19) (BAY 22) Caden Knighten rushes for 1 yard. Tackle by (HOU D04) Brandon Mack II.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,59,2,5,1,BAY,HOU,BAY,false,false,2025-11-29,29563,111,1,859,Baylor,Houston,0,0,2,5,59,RUSH,1,3,1,0,0,0,0,0,,0,Punt,0,0,0,0,3,3,(14:19) (BAY 22) Caden Knighten rushes for 1 yard. Tackle by (HOU D04) Brandon Mack II.,-2,57,6898665,326-undefined
137,6898676,RUSH,Rush,29563,,,,,29563,,409083,29563-137,"409083, 137",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,true,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,0,3,4,58,58,,,0.9387103973217635,-1.8170119793204051,-3,1,1,75,900,4,14,115,Punt,1,832,24,31,0,0,true,(13:52) (BAY 22) Caden Knighten rushes for -3 yards. Tackle by (HOU D08) Kentrell Webb. Assist by (HOU D04) Brandon Mack II.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,58,3,4,-3,BAY,HOU,BAY,false,false,2025-11-29,29563,137,1,832,Baylor,Houston,0,0,3,4,58,RUSH,1,4,-3,0,0,0,0,0,,0,Punt,0,0,0,0,3,3,(13:52) (BAY 22) Caden Knighten rushes for -3 yards. Tackle by (HOU D08) Kentrell Webb. Assist by (HOU D04) Brandon Mack II.,-2,57,6898676,326-undefined
163,6898683,PUNT,Punt,29563,,,,,29563,,409083,29563-163,"409083, 163",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,true,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,0,4,7,61,61,,,-0.9026446796775734,0.3578428521441795,,1,1,75,900,4,14,115,Punt,1,794,24,31,0,0,true,(13:14) 43 Yard Punt by (BAY S94) Palmer Williams. FairCatch.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,61,4,7,0,BAY,HOU,BAY,false,false,2025-11-29,29563,163,1,794,Baylor,Houston,0,0,4,7,61,PUNT,1,0,0,0,0,0,0,0,,0,Punt,0,0,0,0,3,3,(13:14) 43 Yard Punt by (BAY S94) Palmer Williams. FairCatch.,-2,57,6898683,326-undefined
186,6898715,RUSH,Rush,29563,,,,,29563,,409083,29563-186,"409083, 186",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,1,10,82,82,,,-0.5494708590100182,-0.17119490183603395,6,2,1,82,785,12,82,318,Touchdown,1,785,24,31,0,0,false,(13:05) (HOU 44) Dean Connors rushes for 6 yards. Tackle by (BAY D17) Tyler Turner.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,82,1,10,6,BAY,HOU,HOU,false,false,2025-11-29,29563,186,1,785,Baylor,Houston,0,0,1,10,82,RUSH,2,1,6,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(13:05) (HOU 44) Dean Connors rushes for 6 yards. Tackle by (BAY D17) Tyler Turner.,-2,57,6898715,326-undefined
212,6898718,RUSH,Rush,29563,,,,,29563,,409083,29563-212,"409083, 212",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,2,4,76,76,,,-0.7229593143641134,-0.15228425735008,3,2,1,82,785,12,82,318,Touchdown,1,755,24,31,0,0,false,(12:35) (HOU 44) Dean Connors rushes for 3 yards. Tackle by (BAY D09) Cooper Lanz. Assist by (BAY D00) Jackie Marshall.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,76,2,4,3,BAY,HOU,HOU,false,false,2025-11-29,29563,212,1,755,Baylor,Houston,0,0,2,4,76,RUSH,2,2,3,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(12:35) (HOU 44) Dean Connors rushes for 3 yards. Tackle by (BAY D09) Cooper Lanz. Assist by (BAY D00) Jackie Marshall.,-2,57,6898718,326-undefined
238,6898721,RUSH,Rush,29563,,,,,29563,,409083,29563-238,"409083, 238",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,3,1,73,73,,,-0.8772837732064385,-0.7781013496254318,7,2,1,82,785,12,82,318,Touchdown,1,717,24,31,0,0,false,(11:57) (HOU 01) Conner Weigman rushes for 7 yards. Tackle by (BAY D17) Tyler Turner.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,73,3,1,7,BAY,HOU,HOU,false,false,2025-11-29,29563,238,1,717,Baylor,Houston,0,0,3,1,73,RUSH,2,3,7,0,0,0,0,0,,0,Touchdown,1,0,0,0,3,3,(11:57) (HOU 01) Conner Weigman rushes for 7 yards. Tackle by (BAY D17) Tyler Turner.,-2,57,6898721,326-undefined
264,6898735,PASS,Pass,29563,,,,,29563,,409083,29563-264,"409083, 264",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,1,10,66,66,,,-1.6658095984949999,-0.8961018003562056,13,2,1,82,785,12,82,318,Touchdown,1,682,24,31,0,0,false,(11:22) (HOU 01) Conner Weigman pass complete to (HOU 00) Amare Thomas for 13 yards.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,66,1,10,13,BAY,HOU,HOU,false,false,2025-11-29,29563,264,1,682,Baylor,Houston,0,0,1,10,66,PASS,2,4,13,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(11:22) (HOU 01) Conner Weigman pass complete to (HOU 00) Amare Thomas for 13 yards.,-2,57,6898735,326-undefined
